         #Name   Sint70_Jy   Serr70_Jy  Sint160_Jy  Serr160_Jy  Sint250_Jy  Serr250_Jy  Sint350_Jy  Serr350_Jy  Sint500_Jy  Serr500_Jy
 G011.4581+01.0736       3.931       0.079       2.192       0.115       1.376       0.229       0.639       0.303       0.366       0.391
 G011.9786-00.0973      43.823       0.296      36.892       0.624      41.743       1.269      15.048       1.394      14.584       3.084
 G017.9275+00.6337     114.311       0.339      14.958       0.246       3.456       0.195       2.219       0.256       0.936       0.194
 G021.3076+00.0835       1.042       0.078       9.548       0.606      19.846       1.087       7.153       0.904       4.472        0.89
 G024.1839+00.1199      96.031       0.352     170.156       0.851      142.54       1.105      64.217       1.154      31.668       1.371
 G029.5780-00.2686       7.853       0.142       7.885       0.326       7.201       0.392       5.877       0.482       3.806       0.808
 G030.0096-00.2734     116.381       0.373     163.975       0.792     142.669       1.178     105.419       1.506      66.485        2.15
 G032.7441-00.0755     323.913       0.595      561.07       1.209     371.956       1.324     186.321       1.287      75.884       1.432
 G037.9601+00.4534       6.996       0.105        4.05       0.214       2.219       0.365       0.994       0.169       1.494       1.134
 G041.7871+00.4884       2.639       0.066       1.614       0.345       3.891       0.649       2.246       0.851       1.381       0.821
 G045.4656+00.0452     1021.43       1.127     1021.62       1.849     585.337       1.836     236.701       1.834     156.969       1.851
 G045.5431-00.0073     136.232        0.49      96.799       0.707      47.529       0.724      20.284       0.819      19.636       1.623
 G050.0208+00.5874      36.067       0.283      12.284       0.369      19.969       0.702      20.373       1.183      10.741       0.845
 G051.6785+00.7193     423.431        0.65     478.294       1.077     289.864       1.118     114.577       1.054      49.162       1.011
 G061.2875-00.3327       47.87       0.452      43.045       0.534      47.931       0.763      13.706        1.05      12.835        0.87
 G062.7551-00.7262       3.881       0.084       2.105       0.083       0.881       0.118       0.372       0.097       0.159       0.224
